spu_code,buyer,DE,ES,FR,IT,GB,US,MX
S240902004992,郑川粤,1729482876528007965,1729482876849986333,1729482877382335261,1729482877210172189,1729427435764027165,1729641629262713629,1731759640328506141
S240902005329,任思宁,1729483756351101156,1729483755866331364,1729481434208114916,1729507637850904804,1729427079838272740,1729632027785859300,1732232067650914532
S240902006916,刘雪莹,1729503414317586885,1729503414511638981,1729503416551643589,1729503414309198277,1729427639874719173,1729650042121916869,1731793799625804229
S240902008448,任思宁,1729480360197331069,1729480358561159293,1729480359341627517,1729480356210514045,1729427669615742077,1729650543586480253,1731759044942137469
S240903000585,李泳乐,1729608601320659928,1729608602215881688,1729608601415949272,1729608602043587544,1729427434582937560,1729869114349360088,1736014172091287512
S240903002191,李泳乐,1729480608771054333,1729480608771447549,1729480608980245245,1729480610583124733,1729427813588504317,1729656122508088061,1732054347330521853
S240903004355,王谍,1729497585956854528,1729497585345010432,1729498266850073344,1729498267106646784,1729426883152219904,1729629587076322048,1732302208598247168
S240903004999,郑川粤,1729480709680634083,1729480709240297699,1729480709785884899,1729480709029337315,1729427443688115427,1729642270857335011,1732076108564956387
S240903005118,张宇,1729481967222102132,1729481967168166004,1729481963418327156,1729481964217800820,1729427180237261940,1729634129316581492,1731758546321967220
S240903005201,张宇,1729480504633366644,1729480505741514868,1729480503821310068,1729480504897738868,1729427138625506420,1729633473097732212,1731713582662648948
S240903005529,刘雪莹,1729480949207505242,1729480949592529242,1729480951570930010,1729480948378802522,1729428493097602394,1729672920408166746,1732310610154784090
S240903005540,李泳乐,1729480143217400076,1729480139027880204,1729480140722379020,1729480140298361100,1729427606824783116,1729648412986544396,1731758522557892876
S240903005945,刘雪莹,1729508424407357786,1729508422675831130,1729508422675437914,1729508422393698650,1729428025114791258,1729662719534535002,1731799018560653658
S240903008119,郑川粤,1729480253274757342,1729480253615151326,1729480252931152094,1729480253434861790,1729428027541720286,1729663212678254814,1731193737855534302
S240903008747,吴斐,1729499832420636999,1729499830698481991,1729499831613233479,1729499831639054663,1729427766488436039,1729654450920853831,1732071947423221063
S240904000488,范文,1729480633504602476,1729480635143723372,1729480634668783980,1729480634237622636,1729428021899332972,1729662586439111020,1732875894068381036
S240904002075,王可心,1729482843579914955,1729482840298134219,1729482841429809867,1729510575083395787,1729427391955832523,1729640113272099531,1731907191746300619
S240904002855,张宇,1729611152393345912,1729611152341441400,1729611152405732216,1729611152339803000,1729427390304915320,1729639986647241592,1731943748150003576
S240904005505,陈家琪,,,,,1729427921459908496,1729659416553100176,
